tick,frames,seconds,fps,ticks,step_ms,shell_ms,render_cpu_ms,gpu_ms,probe,process_cpu_ms,busy_frames,threaded,route_workers
600,1,8.976589,0.111,0,0.0000,8714.2766,0.0000,,baseline,9608.8650,0,True,1
600,1,1.583518,0.632,0,0.0000,1031.7283,86.5990,10.5260,baseline,1736.5390,0,True,1
600,2,1.046656,1.911,0,0.0000,645.1912,275.9055,89.5640,baseline,1357.3130,0,True,1
600,6,3.692509,1.625,0,0.0000,3094.0794,92.3265,21.1910,baseline,3691.1100,0,True,1
600,12,1.047636,11.454,0,0.0000,154.5245,57.2955,21.9921,baseline,1151.0910,0,True,1
600,13,1.051864,12.359,0,0.0000,151.1569,56.0530,21.0745,baseline,1155.5080,0,True,1
600,13,1.044965,12.441,0,0.0000,161.9763,55.3843,20.6969,baseline,1137.3610,0,True,1
600,11,2.251167,4.886,0,0.0000,1493.2857,56.2315,20.6878,baseline,2444.9000,0,True,1
600,13,1.023528,12.701,0,0.0000,140.6431,55.5951,20.6973,baseline,1100.4560,0,True,1
600,13,1.015360,12.803,0,0.0000,141.1092,54.8151,20.8232,baseline,1069.7810,0,True,1
600,13,1.011668,12.850,0,0.0000,141.4717,54.7712,20.7179,baseline,1065.7930,0,True,1
600,13,1.033512,12.578,0,0.0000,159.4239,54.9863,20.7106,baseline,1086.5960,0,True,1
600,13,1.036094,12.547,0,0.0000,142.1503,56.3011,20.6945,baseline,1088.3920,0,True,1
600,13,1.016552,12.788,0,0.0000,140.9073,54.9523,20.7118,baseline,1067.6510,0,True,1
600,13,1.035096,12.559,0,0.0000,160.3050,54.9695,20.6906,baseline,1085.6040,0,True,1
600,11,2.232096,4.928,0,0.0000,1492.0572,54.6921,20.7084,baseline,2311.3030,0,True,1
600,4,1.055211,3.791,0,0.0000,294.9541,91.9705,21.2330,baseline,1108.9160,0,True,1
600,1,1.455132,0.687,0,0.0000,1387.8438,55.2010,21.1200,baseline,1494.8360,0,True,1
608,11,1.012557,10.864,8,516.6274,232.8264,57.5131,20.9477,baseline,1602.0580,0,True,1
608,15,1.061351,14.133,0,0.0000,0.8977,57.8605,21.0817,baseline,2182.8460,15,True,1
609,14,1.000725,13.990,1,1980.6030,27.3642,57.1747,20.7316,baseline,1976.3710,13,True,1
619,10,2.365220,4.228,10,637.2605,1662.8696,57.1852,20.9663,baseline,3099.7410,0,True,1
628,11,1.046121,10.515,9,583.0354,266.1348,57.6596,21.1665,baseline,1702.2930,0,True,1
636,11,1.007299,10.920,8,532.8641,236.9706,57.6476,21.1352,baseline,1591.8340,0,True,1
640,13,1.021392,12.728,4,258.2800,114.4076,57.0353,21.2270,baseline,1895.3480,8,True,1
640,15,1.047305,14.322,0,0.0000,0.8594,57.3597,20.9022,baseline,2151.4810,15,True,1
645,13,1.036233,12.545,5,2366.0861,133.6862,57.0654,21.1178,baseline,1847.8630,8,True,1
651,12,1.001250,11.985,6,650.4657,162.7306,57.3758,21.1176,baseline,1717.5310,6,True,1
657,13,1.054531,12.328,6,625.3485,162.9710,56.1034,21.2488,baseline,1801.4250,7,True,1
663,11,2.293937,4.795,6,623.2739,1539.3130,56.2678,21.0825,baseline,2939.1420,5,True,1
665,4,1.039994,3.846,2,212.0375,290.3756,55.8958,21.1192,baseline,1291.5040,1,True,1
667,4,1.718440,2.328,2,210.1331,1445.0873,91.0198,21.2510,baseline,1970.2400,2,True,1
672,13,1.026542,12.664,5,533.5340,138.0201,55.9182,21.2041,baseline,1817.0630,8,True,1
672,15,1.021422,14.685,0,0.0000,0.8446,55.9225,20.9995,baseline,2101.5640,15,True,1
675,14,1.067213,13.118,3,2078.6264,89.6479,57.4594,20.9053,baseline,1976.7530,11,True,1
681,12,2.363369,5.077,6,635.4228,1538.7645,56.2568,21.2758,baseline,3083.4710,6,True,1
687,13,1.065340,12.203,6,634.8743,171.4558,56.2614,25.4017,baseline,1829.9450,7,True,1
693,12,1.031366,11.635,6,639.7909,177.8378,57.1782,25.8119,baseline,1747.6370,6,True,1
699,12,1.015796,11.813,6,661.3828,178.5042,58.3569,25.8433,baseline,1712.5770,6,True,1
704,13,1.057689,12.291,5,531.8715,150.1570,57.3855,28.1061,baseline,1852.7700,8,True,1
704,15,1.046709,14.331,0,0.0000,0.8974,57.4389,23.4776,baseline,2160.6410,15,True,1
708,13,1.014850,12.810,4,1997.7664,121.6528,56.5399,21.3022,baseline,1737.1970,9,True,1
714,12,1.014839,11.825,6,438.6096,185.0058,56.3618,21.3876,baseline,1574.5220,6,True,1
720,10,2.301430,4.345,6,426.0286,1613.9927,56.5475,21.4901,baseline,2914.0930,4,True,1
723,17,1.205848,14.098,3,215.8842,563.6686,17.4138,10.6454,baseline,1425.7540,13,True,1
726,28,2.563476,10.923,3,244.5379,2205.5643,6.1027,6.9653,baseline,2922.8160,24,True,1
