render_probe	baseline
render_work	7	0	25767	0
render_frames	7885	81485.258	6667.664
# render_info	pass	objects	draw_calls	primitives
render_info	Visible	106	106	315858
render_info	Shadow	209	209	558138
# shell_band	radius	chunk	kit	shadows	buildings	chunks	vertices	triangles	kit_pieces	collect_ms	generate_ms	upload_ms	slowest_upload_ms
shell_band	250	64	15	on	82	44	276674	138280	1230	70.489	16.392	22.428	0.903
# render	layer	batches	uploads	uploaded_instances	uploaded_bytes	upload_ms	pending
render	ground	1	1	1	768	2.909	0
render	hazard	0	0	0	0	0.000	0
render	water	0	0	0	0	0.000	0
render	flood	0	0	0	0	0.000	0
render	road	481	481	53498	6450176	62.320	0
render	footway	511	511	104908	6947840	101.707	0
render	kerb	511	96	112896	10911744	234.275	0
render	cell	37	37	290	28416	0.631	0
render	plot	240	240	13068	983040	14.126	0
render	zone	242	242	12499	862208	13.415	0
render	cursor	0	0	0	0	0.000	0
render	building	242	246	88625	8522240	96.897	0
render	roof	240	244	10640	1159680	15.330	0
render	hip	227	229	1973	298240	5.298	0
render	paired-roof	242	246	38077	4186880	50.066	0
render	parapet	242	246	37915	4188160	44.995	0
render	yard	242	246	66306	6449152	76.994	0
render	tree	3456	200	18253	1613824	1471.871	0
render	rock	801	0	0	0	78.119	0
render	traveller	0	0	0	0	0.000	0
render	car	0	0	0	0	0.000	0
