tick,frames,seconds,fps,ticks,step_ms,shell_ms,render_cpu_ms,gpu_ms,probe,process_cpu_ms,busy_frames,threaded,route_workers
600,139,1.002210,138.694,0,0.0000,882.4952,0.2582,3.9667,shadows-off,1038.7060,0,True,1
600,140,1.003913,139.454,0,0.0000,885.9134,0.2503,3.9739,shadows-off,1040.0330,0,True,1
600,139,1.005689,138.214,0,0.0000,886.0575,0.2553,3.9790,shadows-off,1044.2510,0,True,1
600,131,2.642251,49.579,0,0.0000,2524.1844,0.2703,3.9923,shadows-off,2848.6970,0,True,1
600,3,1.316320,2.279,0,0.0000,345.6803,0.3477,3.8967,baseline,1414.4670,0,True,1
600,1,1.620484,0.617,0,0.0000,1617.0941,18.3820,8.5630,baseline,1674.5820,0,True,1
600,132,1.008244,130.921,0,0.0000,872.3506,0.3884,5.5773,baseline,1089.0830,0,True,1
600,120,1.009043,118.925,0,0.0000,873.8971,0.4148,5.5890,baseline,1066.0290,0,True,1
600,111,1.002051,110.773,0,0.0000,864.1336,0.4429,5.6366,baseline,1059.6540,0,True,1
600,113,1.007487,112.160,0,0.0000,876.6242,0.4315,5.6060,baseline,1068.4850,0,True,1
600,120,1.001722,119.794,0,0.0000,869.3453,0.4086,5.6068,baseline,1061.9140,0,True,1
600,126,1.003095,125.611,0,0.0000,868.2733,0.3944,5.6274,baseline,1063.6570,0,True,1
600,123,1.008436,121.971,0,0.0000,873.8575,0.4027,5.6252,baseline,1061.1470,0,True,1
600,129,1.005613,128.280,0,0.0000,861.1582,0.4105,5.6414,baseline,1064.8670,0,True,1
600,114,1.002505,113.715,0,0.0000,866.1712,0.4413,5.6191,baseline,1058.2530,0,True,1
600,122,1.006145,121.255,0,0.0000,858.5393,0.4087,5.5851,baseline,1043.9800,0,True,1
600,112,1.006630,111.262,0,0.0000,870.5659,0.4507,5.6213,baseline,1052.7690,0,True,1
600,124,2.616757,47.387,0,0.0000,2489.8387,0.3787,5.6111,baseline,2734.3470,0,True,1
600,3,1.071996,2.799,0,0.0000,327.2490,0.5750,5.5097,baseline,1289.8900,0,True,1
600,1,1.678788,0.596,0,0.0000,1675.4677,18.1110,6.9850,baseline,1715.7420,0,True,1
600,132,1.009981,130.696,0,0.0000,866.1669,0.4284,5.1423,baseline,1069.1370,0,True,1
600,130,1.006475,129.164,0,0.0000,859.2765,0.4384,5.1869,baseline,1065.4290,0,True,1
600,131,1.005905,130.231,0,0.0000,860.3723,0.4340,5.2270,baseline,1066.1320,0,True,1
600,129,1.005348,128.314,0,0.0000,858.7007,0.4450,5.1820,baseline,1061.0750,0,True,1
600,129,1.001217,128.843,0,0.0000,855.7574,0.4342,5.2020,baseline,1057.0510,0,True,1
600,131,1.006270,130.184,0,0.0000,860.3796,0.4355,5.2047,baseline,1067.7010,0,True,1
600,130,1.006638,129.143,0,0.0000,861.2609,0.4344,5.1728,baseline,1069.5690,0,True,1
600,129,1.004963,128.363,0,0.0000,857.4963,0.4387,5.2025,baseline,1066.0010,0,True,1
600,130,1.002457,129.681,0,0.0000,857.7769,0.4324,5.1829,baseline,1063.3000,0,True,1
600,129,1.006261,128.197,0,0.0000,857.5031,0.4506,5.2005,baseline,1065.7710,0,True,1
600,131,1.006057,130.211,0,0.0000,861.6070,0.4297,5.1698,baseline,1065.8970,0,True,1
600,124,2.655806,46.690,0,0.0000,2520.2114,0.4282,5.1509,baseline,2922.8840,0,True,1
600,4,2.571600,1.555,0,0.0000,2048.1774,5.0880,5.2852,baseline,2847.4950,0,True,1
600,123,1.004605,122.436,0,0.0000,831.4123,0.6105,5.1938,baseline,1062.2880,0,True,1
600,127,1.001020,126.871,0,0.0000,840.8310,0.5362,4.8754,baseline,1063.6990,0,True,1
600,130,1.004712,129.390,0,0.0000,846.6723,0.5197,4.8639,baseline,1066.6420,0,True,1
600,127,1.003419,126.567,0,0.0000,836.6943,0.5687,4.9084,baseline,1067.5310,0,True,1
600,127,1.003650,126.538,0,0.0000,836.6595,0.5642,4.8746,baseline,1067.7850,0,True,1
