tick,frames,seconds,fps,ticks,step_ms,shell_ms,render_cpu_ms,gpu_ms,probe,process_cpu_ms,busy_frames,threaded,route_workers
600,123,1.009148,121.885,0,0.0000,863.1856,0.5030,3.8484,shadows-off,1127.2710,0,True,1
600,123,1.013322,121.383,0,0.0000,865.2566,0.5078,3.8374,shadows-off,1134.0490,0,True,1
600,109,1.933190,56.383,0,0.0000,815.5807,0.5003,3.8314,baseline,2060.6500,0,True,1
600,2,2.177766,0.918,0,0.0000,1987.6382,70.5600,6.0035,baseline,2315.4670,0,True,1
600,118,1.011937,116.608,0,0.0000,825.2758,0.8515,5.3364,baseline,1367.6070,0,True,1
600,118,1.011030,116.713,0,0.0000,825.1880,0.8389,5.3529,baseline,1370.2550,0,True,1
600,120,1.018952,117.768,0,0.0000,834.3282,0.8210,5.3407,baseline,1383.7300,0,True,1
600,119,1.019981,116.669,0,0.0000,831.4972,0.8426,5.3331,baseline,1382.9480,0,True,1
600,119,1.016044,117.121,0,0.0000,830.5888,0.8298,5.3346,baseline,1381.4060,0,True,1
600,119,1.020933,116.560,0,0.0000,833.0304,0.8375,5.3405,baseline,1384.2600,0,True,1
600,117,1.015507,115.213,0,0.0000,826.8565,0.8491,5.3484,baseline,1377.5860,0,True,1
600,117,1.017945,114.937,0,0.0000,827.7118,0.8552,5.3475,baseline,1372.7000,0,True,1
600,118,1.013373,116.443,0,0.0000,827.6628,0.8436,5.3399,baseline,1367.0360,0,True,1
600,119,1.020882,116.566,0,0.0000,830.2093,0.8678,5.3612,baseline,1382.8420,0,True,1
600,120,1.022474,117.362,0,0.0000,834.3781,0.8373,5.3462,baseline,1388.3620,0,True,1
600,97,1.627028,59.618,0,0.0000,736.3338,0.8488,5.3406,baseline,1938.1970,0,True,1
600,2,2.186577,0.915,0,0.0000,1994.2144,71.4955,5.9510,baseline,2439.7650,0,True,1
600,117,1.016849,115.061,0,0.0000,821.1324,0.9098,4.9075,baseline,1390.8130,0,True,1
600,117,1.010944,115.733,0,0.0000,818.9761,0.8861,4.9205,baseline,1363.6860,0,True,1
600,116,1.014578,114.333,0,0.0000,820.3188,0.8963,4.9224,baseline,1365.7300,0,True,1
600,117,1.009209,115.932,0,0.0000,818.7179,0.8726,4.9279,baseline,1368.9500,0,True,1
600,117,1.013139,115.483,0,0.0000,818.9333,0.8940,4.9184,baseline,1368.0910,0,True,1
600,116,1.001711,115.802,0,0.0000,815.0367,0.8620,4.9237,baseline,1353.7660,0,True,1
600,119,1.020971,116.556,0,0.0000,829.0025,0.8675,4.9171,baseline,1387.4810,0,True,1
600,116,1.002674,115.691,0,0.0000,814.8691,0.8730,4.9229,baseline,1357.0240,0,True,1
600,116,1.012741,114.541,0,0.0000,817.4938,0.9039,4.8955,baseline,1363.0640,0,True,1
600,115,1.010175,113.842,0,0.0000,818.7700,0.8830,4.8979,baseline,1353.4570,0,True,1
600,116,1.021352,113.575,0,0.0000,824.8409,0.9020,4.9085,baseline,1375.3400,0,True,1
600,102,1.441085,70.780,0,0.0000,775.7429,0.8866,4.9175,baseline,1803.8810,0,True,1
600,2,2.318652,0.863,0,0.0000,2124.0666,70.1385,5.2430,baseline,2896.4340,0,True,1
600,115,1.014312,113.377,0,0.0000,807.0879,1.0163,4.8614,baseline,1362.6350,0,True,1
600,113,1.006873,112.229,0,0.0000,799.6314,1.0029,4.5440,baseline,1344.7290,0,True,1
600,114,1.020244,111.738,0,0.0000,817.0779,0.9728,4.6152,baseline,1368.7710,0,True,1
600,116,1.025117,113.158,0,0.0000,817.1692,0.9821,4.5976,baseline,1375.8390,0,True,1
600,116,1.017437,114.012,0,0.0000,812.5513,0.9701,4.6191,baseline,1368.8010,0,True,1
